name,salary,url,organization,address,experience
Системный аналитик,,https://samara.hh.ru/vacancy/92709745?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Сбер для экспертов,,1–3 года
Главный инженер сопровождения Hadoop,,https://samara.hh.ru/vacancy/94216012?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Сбер для экспертов,,1–3 года
Специалист по контекстной и таргетированной рекламе,60000 ₽,https://samara.hh.ru/vacancy/93619479?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Original Works,"Самара, Лесная улица, 23 к 100, офис 41",1–3 года
Младший HR менеджер,,https://samara.hh.ru/vacancy/94191235?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО ГК Иннотех | Финтех (Иннотех),,1–3 года
Аналитик-консультант 1с,60000-80000 ₽,https://samara.hh.ru/vacancy/92601278?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО НПП КуйбышевТелеком-Метрология,посёлок городского типа Волжский,1–3 года
Аналитик-консультант 1С,,https://samara.hh.ru/vacancy/94114295?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ФТО,,3–6 лет
"Маркетолог/помощник руководителя отдела маркетинга (ИТ-сфера, производственные компании), удаленно",до 120000 ₽,https://samara.hh.ru/vacancy/93599484?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Поспелино,,3–6 лет
Специалист по контекстной рекламе / PPC специалист,до 100000 ₽,https://samara.hh.ru/vacancy/92888984?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Деломатика,,1–3 года
Интернет-маркетолог/маркетолог,60000-80000 ₽,https://samara.hh.ru/vacancy/94220791?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Успех,", , Некрасовская улица, 60РоссийскаяАлабинскаяМосковскаяСамара",3–6 лет
Системный аналитик,,https://samara.hh.ru/vacancy/92708977?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Сбер для экспертов,,1–3 года
Специалист по построению маршрутов (routing engeneer),,https://samara.hh.ru/vacancy/93983294?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Объединенные Пивоварни,,1–3 года
Интернет-маркетолог,65000-65000 ₽,https://samara.hh.ru/vacancy/93485176?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО ВИРА-СТРОЙ,", улица Санфировой, 91АСоветская, СпортивнаяГагаринскаяСамара",1–3 года
